Author,Betweenness,Cluster_Rank,Coreness,Decay,Degree,Diffusion,Dispersion,Eccentricity,Eigenvector,EvidentialSemiLocal,Harmonic,Katz,Load,Local_Structural,PageRank,Percolation,Radiality,SecondOrder,Semi_Local,Subgraph,VoteRank,Closeness,Class
O Goldreich,45114.83271401702,6.186234201309577e-05,6,4257.070313,0.000323588,21675.54187500002,0.5150775620887887,7,0.000365271,26836.034429844214,13828.066666670584,0.002381857,6.562215060540827e-05,52,6.076346722017459e-05,4.08257115374149e-10,0.6491069445766314,0.6371621341987035,26927,0.001648685,0,0.25504044093308753,Nonawardee
E Viola,0,3.806913354652048e-05,2,3026.015625,3.806913354652048e-05,3658.3426249999975,0,8,6.541550034760127e-05,5705.115249956469,12118.750000001748,0.001862711,0,2,9.005704625250858e-06,0,0.6124155325021414,0.5893919965603069,5723,6.832084569018187e-05,0,0.225971202,Nonawardee
N Nisan,37685.07421581681,3.806913354652048e-05,6,3588.640625,0.000266484,13337.566749999998,0.3062777108885838,8,0.000205938,14640.070922756395,12918.569047621257,0.002197057,5.126248119048792e-05,26,4.9885784457529724e-05,3.0797786733140126e-09,0.6307905840550744,0.5985473046841057,14693,0.00083026,0,0.23965060951090614,Nonawardee
A Wigderson,5477490.396802749,3.976648344986852e-05,11,5952.40625,0.003007462,224969.34062499998,0.4495507919681436,7,0.005658495,86220.36263595767,16133.040476198856,0.008442885,0.004218541,328,0.000580874,1.169042805316355e-50,0.6883791757875702,0.5924118780350737,86586,0.018363369,18,0.29576414160525805,Awardee
B Chor,3086.7344277003467,9.51728338663012e-05,6,4093.359375,0.000171311,17070.832625000025,0.2092002142209742,7,0.0002917,22773.037989252007,13603.961904765418,0.002179405,5.696820796718625e-06,40,3.1902193002002984e-05,8.240196247341058e-09,0.6448050506011865,0.6332614820165037,22847,0.001119071,0,0.25125092692485546,Nonawardee
J Hartmanis,4163468.3266225294,3.453694589787425e-05,13,7142.09375,0.003711741,496749.7452499989,0.4896861178768352,6,0.013879556723276147,101725.27501621528,17729.150000004513,0.014751035,0.004403777,352,0.00091948,8.692717569339378e-62,0.7073570000951747,0.6330229955074127,103358,0.081699152,29,0.320493834,Awardee
S Even,12.483294236936423,3.806913354652048e-05,3,3027.65625,5.710370031978072e-05,3847.4931249999995,0.2256783132863249,8,6.333650240224665e-05,5920.478543693422,12117.583333335211,0.001864738,4.2972992210697653e-08,4,1.2454533760467614e-05,1.758552195020582e-09,0.6122600805811999,0.5977571227543331,5929,7.784978284848605e-05,0,0.22586213330531804,Nonawardee
S Micali,72074.50117828272,8.285634948360339e-05,6,4768.8125,0.000342622,42909.52787499996,0.4137435743582625,7,0.000715851,42154.94541676011,14520.314285719678,0.002673697,0.00011025,74,6.10817803011182e-05,3.686404461413682e-10,0.6625233971003458,0.6288245573640293,42282,0.004427603,0,0.267629334,Nonawardee
R Chang,9176.075633783465,2.8551850159890357e-05,5,4410.289063,9.51728338663012e-05,31885.98412499998,0.2708139759435899,7,0.00055754,32743.09793919874,14034.40000000438,0.002291547,1.325830849829074e-05,6,1.9268751100536516e-05,3.6838478977449e-07,0.6533675962057042,0.6339233581900648,32840,0.002606987,0,0.258908006,Nonawardee
I Damgård,55409.614934838624,3.806913354652048e-05,5,4838.335938,0.000171311,39114.235374999924,0.2256783132863249,7,0.000668222,41706.90824556361,14610.45952381493,0.002564144,5.2094689344096385e-05,16,3.5559074903147706e-05,9.331264485997961e-08,0.6634434186732654,0.6481389019194582,41921,0.001236488,0,0.2685382948268948,Nonawardee
M Ben-Or,22507.23578366768,8.459807454782328e-05,6,3516.117188,0.000190346,11349.029999999993,0.3046657229365387,8,0.000181632,13318.502401439786,12815.80000000213,0.002108472,3.209072974822886e-05,40,3.613946635201743e-05,3.0852305918048234e-08,0.6285397036896038,0.5996709302840169,13365,0.000564065,0,0.23788657137910565,Nonawardee
B Pfitzmann,4071.986477353071,1.903456677326024e-05,3,3959.070313,5.710370031978072e-05,13693.14512500003,0,7,0.000222132,20758.74531533417,13417.921428574677,0.002001665,3.3750766344598388e-06,2,1.3397051840950666e-05,3.9167967144369073e-07,0.6410805494749532,0.633995547,20814,0.000231588,0,0.24805983493362074,Nonawardee
A Shamir,944104.1102229046,3.806913354652047e-05,10,5933.84375,0.001199178,191603.92937499975,0.3662492453469226,7,0.005325597,86813.04329957918,16092.557142865371,0.006656999,0.001242906,124,0.000245613,1.3241769808309787e-22,0.6880175121347673,0.595746997,87195,0.015675038,0,0.2953298665905362,Awardee
S Vadhan,124.55865536620016,3.806913354652048e-05,3,3026.890625,7.613826709304096e-05,3868.373374999998,0.3385174699294874,8,6.678329625028308e-05,5702.683296211967,12120.250000001746,0.001897808,7.753863074500763e-07,6,1.6529537468700165e-05,1.3777682723066933e-08,0.6124234637225976,0.5897435005488366,5721,7.800296855674166e-05,0,0.22597676944543338,Nonawardee
Rl Rivest,4692240.650570179,3.507798733929387e-05,11,5985.085938,0.002683874,202886.63387499916,0.3853004574764955,7,0.003689206,74760.50041686921,16173.835714294337,0.007017979,0.003022873,258,0.000609105,1.0919461505961569e-45,0.6895180990450811,0.5776396457832819,75304,0.023947886,1,0.29714011,Awardee
M Blum,1410863.991,3.806913354652048e-05,11,5445.53125,0.001675042,125677.61062499954,0.3494799871694806,7,0.001991595,57952.15877241421,15441.030952388386,0.004842883,0.001571056,174,0.000358063,4.923360059565431e-30,0.6782541797531804,0.6062656725259938,58269,0.017805495,0,0.2840698837561772,Awardee
S Micali…,0,3.806913354652048e-05,2,2141.550781,3.806913354652048e-05,712.3849999999999,0,8,5.939363260597722e-06,739.0911377,10746.958333335062,0.001804238,0,2,8.949367849651398e-06,0,0.5718552710891152,0.6391472384344133,740,1.115138608176907e-05,0,0.200685401,Nonawardee
T Okamoto…,11844.76510159155,3.806913354652048e-05,5,2941.753906,9.51728338663012e-05,4543.296749999999,0,8,4.4320809070857405e-05,4879.365337360413,11988.594047620823,0.001906618,4.8043235663857295e-06,8,1.888915186436933e-05,1.0794623702184727e-07,0.6085292344786015,0.6151469317680571,4894,0.00021807,0,0.22327571161432813,Nonawardee
Bn Miller,11842633.274289934,7.635895772229615e-05,19,8635.90625,0.00658596,1144041.794125003,0.6058072360262917,6,0.029336175,123219.09907371773,19748.533333333304,0.028923106,0.012150273354341256,1384,0.001324387,8.598647722203562e-107,0.7290901303892643,0.6319989539112496,126528,0.8429434007568355,58,0.3544314473956307,Awardee
L Fortnow,3628.821971525577,3.806913354652048e-05,4,2408.859375,0.000152277,1477.58475,0,8,1.3793408636520385e-05,1150.3392923690249,11178.91190476378,0.001913434,8.84017303559189e-06,14,2.8708735139332462e-05,2.174057360488366e-08,0.5856889058088258,0.6301147465911754,1152,3.6032318092209545e-05,0,0.20864835381126742,Nonawardee
Fp Preparata,59394.85776540628,3.806913354652048e-05,4,4394.632813,0.000228415,22194.47749999993,0.2256783132863249,7,0.000377929,30517.90018,14012.79523809968,0.002271334,9.205293255325724e-05,22,4.939033101866669e-05,2.057795721869462e-08,0.653096348,0.6344741492470642,30572,0.002761049,0,0.25865829089471487,Nonawardee
A De Santis,85733.62834952393,4.392592332290825e-05,4,3798.984375,0.000266484,15746.779124999992,0.4674765060931017,8,0.000296639,23152.512583991425,13207.683333335915,0.002247534,0.000123994,30,5.065806554331024e-05,7.562471513732803e-09,0.6369261761999937,0.6108420600904387,23192,0.002947783,0,0.24459473187322173,Nonawardee
S Feldman,8726567.950383846,4.4990794191342385e-05,17,7786.0625,0.003369118,544856.6129999943,0.3239966009538048,6,0.017089929884578723,114000.2500174612,18586.28333333562,0.017319914,0.005459731,416,0.000838777,2.8514234130533344e-56,0.7170933663272104,0.6367501195686889,116356,0.04985038,15,0.33485813570046347,Awardee
G Persiano,27300.746126468144,6.52613717940351e-05,4,3793.0625,0.000152277,15572.367624999983,0.2397832078667202,8,0.000295363,23078.95614004671,13198.550000002568,0.002147134,2.0947772266189648e-05,24,2.7147933451560906e-05,7.336560368751519e-08,0.636777069,0.6106038821325367,23119,0.002786122,0,0.2444721626382906,Nonawardee
S Goldwasser,24186.78420215324,6.735308242845931e-05,6,3513.882813,0.000266484,9980.7595,0.5066247849284846,8,0.000146474,12280.047639863653,12814.583333335411,0.002159017,3.796871170913474e-05,46,5.0435357018303566e-05,1.9503373219607148e-09,0.6285238412486913,0.5962886913997547,12330,0.000653257,0,0.2378742319679773,Nonawardee
B Awerbuch,3704.456569690735,3.806913354652048e-05,5,3762.726563,0.000152277,12021.496874999997,0.1269440512235577,7,0.000170415,15866.563751098427,13149.802380955183,0.002052452,1.4695047773614641e-05,14,3.0169139738397366e-05,2.048595016947758e-08,0.6354811078328734,0.6273717174278215,15905,0.000336431,0,0.24341200469309165,Nonawardee
Jh Reif…,0,7.613826709304096e-05,4,4350.132813,7.613826709304096e-05,18905.83812499994,0,7,0.000334132,29447.526350668624,13951.328571432929,0.002094762,0,12,1.5683437374432674e-05,0,0.652062117,0.6319209724083611,29488,0.002634213,0,0.25771056373065276,Nonawardee
C Rackoff…,0,5.710370031978072e-05,3,2402.390625,5.710370031978072e-05,988.7412499999997,0,8,9.51382823745469e-06,1105.8581454325843,11168.39524,0.001825062,0,6,1.1832682159229794e-05,0,0.5854636591478697,0.6295957716329854,1107,2.2514717264086865e-05,0,0.2085136391438193,Nonawardee
Rb Boppana,0,7.613826709304096e-05,4,4350.132813,7.613826709304096e-05,18905.83812499994,0,7,0.000334132,29447.526350668624,13951.328571432929,0.002094762,0,12,1.5683437374432674e-05,0,0.652062117,0.6319209724083611,29488,0.002634213,0,0.25771056373065276,Nonawardee
O Reingold,50924.271288584736,3.172427795543373e-05,3,2978.953125,0.000133242,3597.544249999997,0.290157831,8,6.376756428708532e-05,5193.648671333252,12049.80714285891,0.0019438,7.177072126297847e-05,10,2.887581312911271e-05,5.798256522038566e-07,0.6105374194981124,0.5934050671551474,5211,6.123726037302098e-05,0,0.2246604858992209,Nonawardee
D Xiao,43468.55769800389,6.735308242845931e-05,7,5795.59375,0.000266484,124153.35237500042,0.2933818072722224,7,0.004424402,84980.63406049182,15898.42619048398,0.005195006,5.609291994597704e-05,46,4.172335052920307e-05,2.9572655845618256e-09,0.6849243361568478,0.6132869146021225,85294,0.004818486,0,0.2916671225858835,Nonawardee
E Ben-Sasson,13200.045652710583,3.172427795543373e-05,3,3034.195313,0.000133242,4345.548499999997,0.290157831,8,7.409248316900109e-05,5872.659634459058,12130.007142858898,0.001954039,2.4188138118902355e-05,10,2.91904432353311e-05,1.5806194488676304e-07,0.6125392595412582,0.5937802986981606,5892,0.000102707,0,0.2260580869068212,Nonawardee
A Gabizon,0,3.806913354652048e-05,2,2977.328125,3.806913354652048e-05,3359.8778749999974,0,8,6.448172221373957e-05,5200.468297530859,12046.807142858908,0.001860398,0,2,8.932743797048836e-06,0,0.6105247295453824,0.5927775065965311,5218,4.9563151749880944e-05,0,0.224651681,Nonawardee
G Kalai,0,0,1,2976.953125,1.903456677326024e-05,3210.6454999999974,0,8,6.144878607392798e-05,5209.736784973542,12046.140476192242,0.001840724,0,0,5.969854291523476e-06,0,0.610521557,0.5926290999330343,5227,4.366075711352826e-05,0,0.2246494804133464,Nonawardee
R Raz,0,3.806913354652048e-05,2,2977.578125,5.710370031978072e-05,3437.8717499999975,0.2256783132863249,8,6.372681900292946e-05,5202.721085135156,12047.307142858908,0.001876189,6.038693814682351e-10,4,1.3421297909625573e-05,6.793530541517645e-11,0.6105263157894737,0.5928688767543632,5220,5.288940842152951e-05,0,0.22465278194589025,Nonawardee
M Alekhnovich…,0,3.806913354652048e-05,2,2977.203125,3.806913354652048e-05,3308.905499999997,0,8,6.212348232613305e-05,5206.944655,12046.640476192242,0.001857874,0,2,1.0385532203506084e-05,0,0.6105231433012912,0.5927204943688263,5224,4.67508183748244e-05,0,0.2246505809134121,Nonawardee
R Eldan,0,3.806913354652048e-05,2,4713.171875,3.806913354652048e-05,34731.225249999996,0,7,0.001165615,52395.3236,14440.995238100326,0.002627729,0,2,8.346962164500042e-06,0,0.660640525,0.6451494061973406,52477,0.001318618,0,0.2657881504134049,Nonawardee
Z Allen-Zhu,1408.118481072603,5.7103700319780715e-05,5,4266.789063,0.000133242,35752.51513,0,7,0.000816873,36818.22333330044,13839.861904765836,0.002433331,4.466104772239824e-06,18,2.249574602086583e-05,1.5866567092935208e-08,0.6496811649376606,0.6330161896536874,36849,0.000977035,0,0.2555549333744509,Nonawardee
Y Gu,211621.1834050045,0.000184397,16,7298.8125,0.000628141,472224.0492499993,0.1711053043571604,7,0.018804227517480027,110310.59139120505,17910.152380956275,0.015395987,0.000204955,310,8.687400003667319e-05,2.4338881751638547e-14,0.70967133,0.6461136186945377,111985,0.008645616,0,0.32379542102379083,Nonawardee
R Armoni,2028.8892070758236,5.075884472869397e-05,3,4454.242188,7.613826709304096e-05,29584.85774999996,0.2256783132863249,7,0.000851328,42912.60146,14093.457142861524,0.002427553,6.0865838900817e-06,8,1.5219126128275904e-05,1.9622877780655784e-07,0.6544541734082041,0.6358023510162759,42960,0.002065889,0,0.25991318066968455,Nonawardee
L Lovasz,0,3.806913354652048e-05,2,2993.195313,3.806913354652048e-05,3416.9914999999974,0,8,6.266066616386986e-05,5353.150253650377,12070.27857143033,0.00185979,0,2,9.34673864619148e-06,0,0.6111417784968751,0.5916669964276255,5371,5.2656790504637794e-05,0,0.22508059959644686,Nonawardee
L Trevisan,0,3.806913354652048e-05,2,2978.453125,3.806913354652048e-05,3475.3333749999974,0,8,6.343501205464493e-05,5217.944882469062,12048.323809525577,0.001860804,0,2,8.97627594366295e-06,0,0.610548523,0.5931856349870095,5236,5.392775032255095e-05,0,0.22466819038094862,Nonawardee
A Razborov,0,3.806913354652048e-05,2,4036.875,3.806913354652048e-05,20540.024750000004,0,7,0.00046674,29717.04111915657,13526.138095241471,0.002120478,0,2,8.216278563729101e-06,0,0.6434852955172742,0.628195686,29742,0.000199297,0,0.2501108330561562,Nonawardee
B Applebaum,0,3.806913354652048e-05,2,2978.453125,3.806913354652048e-05,3475.3333749999974,0,8,6.343501205464493e-05,5217.944882469062,12048.323809525577,0.001860804,0,2,8.97627594366295e-06,0,0.610548523,0.5931856349870095,5236,5.392775032255099e-05,0,0.22466819038094862,Nonawardee
J Kilian,42940.74664801548,3.806913354652048e-05,5,4539.8125,0.000133242,30956.198874999747,0,7,0.000523595,34313.64052805824,14207.026190480898,0.002329816,4.099013438963743e-05,12,2.8419235709035935e-05,2.702140081890331e-07,0.6563862187113353,0.6460081598341497,34464,0.00238048,0,0.2617198947853195,Nonawardee
F Fich,1789.9261695978817,4.75864169331506e-05,4,3030.375,9.51728338663012e-05,3885.568874999997,0.3159496386008549,8,6.844696139083737e-05,5829.291541411928,12125.135714287471,0.001916721,2.290818336111358e-06,10,1.8442088195495e-05,5.977516280521768e-08,0.6125075346594334,0.5911096838663872,5848,8.279124252503746e-05,0,0.22603580233030104,Nonawardee
S Arora,6668159.252,4.111466423024211e-05,16,6680.703125,0.003350084,413198.03899999807,0.4786115182559937,7,0.008383523,95216.59244143781,17110.357142863566,0.011123657,0.004686542,378,0.000746303,4.895423985480934e-56,0.7011516132102408,0.5913311357571643,96365,0.060400645,11,0.3119647733617583,Awardee
L Lovász,6227.352189086163,5.234505862646566e-05,4,3765.867188,0.000171311,12375.232875000003,0.1504522088575499,8,0.000197928,18328.10318698372,13157.271428574008,0.002097181,1.4127104867494151e-05,22,3.3075012101050906e-05,1.758493580896231e-08,0.6357063544938295,0.6209685826547772,18373,0.000360482,0,0.2435956064771668,Nonawardee
I Newman,30524.649883404378,5.498874845608513e-05,4,3612.125,0.000190346,10364.587625000006,0.2820978916079061,8,0.000166602,14828.500170428237,12948.440476192707,0.002092886,4.6307837314556275e-05,26,3.7186874195886056e-05,4.232303091254114e-08,0.6314377716443006,0.6051442754949639,14873,0.000375306,0,0.24016267005419492,Nonawardee
X Wu,27072214.350459043,0.000228647,19,9321.25,0.018710979138114814,4543245.163500001,0.7325370913546214,6,0.10167853272089933,113467.17464315925,20768.499999998745,0.085256411,0.022465732869094764,11796,0.002798111,2.8341439841685572e-298,0.7373290821991688,0.6438620361007199,117374,1.0365486088265865,86,0.3692544803988829,Awardee
M Saks,0,3.806913354652048e-05,2,2977.203125,3.806913354652048e-05,3663.255624999997,0,8,7.069430394381159e-05,5204.778194236064,12046.640476192242,0.001863133,0,2,9.210226345798703e-06,0,0.6105231433012912,0.5927204943688263,5222,6.105844914032737e-05,0,0.2246505809134121,Nonawardee
P Beame,92474.46592638823,3.8069133546520485e-05,4,3267.140625,0.000247449,7508.292249999992,0.1735987025279422,8,0.000121612,8798.806966678732,12470.026190477898,0.0021008,0.000117907,24,5.533649870706319e-05,1.3590749241112961e-08,0.6209606294216554,0.5822398576338793,8839,0.000149176,0,0.23213309618726255,Nonawardee
I Dinur,3201.082881,1.903456677326024e-05,3,3252.3125,5.710370031978072e-05,5713.818999999996,0,8,9.440751121043557e-05,8906.791747258727,12442.083333335258,0.001910953,2.7080941290364768e-06,2,1.2744097113206115e-05,2.73650372494339e-07,0.6200644015101043,0.597685312,8935,0.000153316,0,0.23147109406053162,Nonawardee
A Shpilka,49103.01263190126,2.8551850159890357e-05,2,2997.578125,9.51728338663012e-05,3508.496124999997,0.1354069879717949,8,6.425696699464023e-05,5344.573252646642,12078.033333335105,0.001909477,7.124193075948197e-05,6,2.470772741185045e-05,2.2239179125799158e-06,0.6113749563782875,0.5882985944328721,5362,5.0580014068653686e-05,0,0.22524311106832845,Nonawardee
E Szemerédi,0,5.710370031978072e-05,3,2977.453125,5.710370031978072e-05,3424.9751249999968,0,8,6.283725673102978e-05,5198.715530266174,12047.140476192242,0.001875846,0,6,1.2637477098151374e-05,0,0.6105247295453824,0.5928118740141003,5216,5.167814099773888e-05,0,0.224651681,Nonawardee
R Heiman,24542.5,1.903456677326024e-05,2,2977.953125,5.710370031978072e-05,3451.382499999997,0,8,6.326568676281565e-05,5206.183742291792,12047.807142858908,0.001876476,3.556766502072646e-05,2,1.5223573704884392e-05,4.445958127590806e-06,0.6105310745217474,0.5930398479014453,5224,5.30095348111578e-05,0,0.22465608357547662,Nonawardee
R O'Donnell,12021.820886705378,5.075884472869397e-05,3,3030.085938,7.613826709304096e-05,3927.943499999997,0.2256783132863249,8,6.800561958156761e-05,5919.571325564767,12123.492857144664,0.001899307,1.7583076517881083e-05,8,1.570214582267242e-05,1.0902913580253157e-06,0.6124028425494115,0.5936943778015744,5938,7.543239270975862e-05,0,0.22596229439011015,Nonawardee
Pg Kolaitis,94096.92796860434,4.9782713099296015e-05,6,4692.140625,0.000266484,35522.21824999995,0.3761305221438749,7,0.00063537,40513.58240717998,14416.223809528989,0.002534542,0.000116253,34,4.955726327484683e-05,6.6050856185468884e-09,0.6605342470099299,0.6324866620208185,40626,0.00605319,0,0.26568498015236125,Nonawardee
L Aszl O Babai,749.2787462617753,2.5379422364346984e-05,3,2989.015625,7.613826709304096e-05,3490.0723749999975,0,8,6.447835085609269e-05,5387.493638996999,12063.390476192257,0.001894079,1.5576594851886108e-06,4,1.6337509102827545e-05,6.856090180608045e-08,0.6108689445131816,0.5949549539741902,5405,5.697251436938582e-05,0,0.22489074758321304,Nonawardee
A Rao,147294.0135856086,5.900715699710674e-05,6,3878.078125,0.000399726,27837.672124999997,0.1332576707024014,8,0.000531276,25116.11211229591,13317.028571431198,0.002577503,0.000208156,62,6.754123091935357e-05,9.572069474252202e-11,0.6386234573776213,0.6213704577369247,25194,0.004687756,0,0.2459986465123108,Nonawardee
E Rozenman,0,3.806913354652048e-05,2,2977.203125,3.806913354652048e-05,3308.905499999997,0,8,6.212348232613305e-05,5206.944655,12046.640476192242,0.001857874,0,2,1.0385532203506084e-05,0,0.6105231433012912,0.5927204943688263,5224,4.675081837482441e-05,0,0.2246505809134121,Nonawardee
O Goldreiclll,0,0,1,2976.953125,1.903456677326024e-05,3210.6454999999974,0,8,6.144878607392798e-05,5209.736784973541,12046.140476192242,0.001840724,0,0,5.969854291523476e-06,0,0.610521557,0.5926290999330343,5227,4.366075711352828e-05,0,0.2246494804133464,Nonawardee
V Makam,22818.97850269604,6.344855591086746e-05,5,3000.84375,0.000133242,4075.947624999997,0.2417981928067767,8,7.659105034879909e-05,5511.577321293311,12080.638095239889,0.001957858,3.824156170284779e-05,20,2.471946519266291e-05,2.619292659952836e-07,0.6112052282605247,0.5968101767281592,5533,9.361095102022188e-05,0,0.22512479717717113,Nonawardee
Rm Karp,691962.4762894433,6.305200243642455e-05,11,5910.328125,0.000628141,163263.28887499974,0.7226590837138293,7,0.00341329,80480.36862523113,16055.009523817582,0.005089202,0.000678026,106,0.00011513,7.465512763842345e-14,0.6872925985850703,0.6073853818298541,81020,0.018120388,0,0.2944632404899187,Nonawardee
A Garg,695418.2682343693,5.0033718375426914e-05,5,4522.53125,0.000685244,35392.63788,0.2772171503086583,7,0.000775872,41682.671284590804,14191.79285714748,0.002938104,0.000544629,92,0.000138556,7.637433746703122e-15,0.6562815266013134,0.6310233329698878,41749,0.001528699,0,0.26162135060887837,Nonawardee
E Szemeredi,0,3.806913354652048e-05,2,2984.421875,3.806913354652048e-05,3503.583124999997,0,8,6.368542012131686e-05,5324.076596593204,12056.65714285892,0.001861005,0,2,9.013402378865511e-06,0,0.6107309412772437,0.5943038139720366,5342,6.014663367298842e-05,0,0.22479483970421252,Nonawardee
Y Yao,6925500.187683895,0.000230287,19,7946.71875,0.00350236,1245546.830624998,0.4054182572496852,6,0.037313797,116094.13737092618,18801.93333333515,0.030305772,0.003017133,2214,0.00049054,1.2896695875797913e-58,0.7197804638177723,0.6245104423114203,118312,0.055585818,0,0.33905203232520903,Awardee
R Jaiswal,110.7605043,5.075884472869397e-05,4,3032.507813,7.613826709304096e-05,4088.2301249999973,0.2256783132863249,8,7.388784619454748e-05,5867.542899889852,12127.257142858898,0.001902961,4.074201328971679e-07,8,1.562950817372156e-05,1.1781706759168949e-08,0.6125218108562546,0.5930949637488061,5886,9.204046023424288e-05,0,0.22604582984600524,Nonawardee
P Hrubeš,0,3.806913354652048e-05,2,2977.203125,3.806913354652048e-05,3327.943374999997,0,8,6.221910014983757e-05,5204.778194236063,12046.640476192242,0.001858276,0,2,9.285507827016614e-06,0,0.6105231433012912,0.5927204943688263,5222,4.8106584313852033e-05,0,0.2246505809134121,Nonawardee
Kn Chen,94752902.07132198,0.000185959,19,10437.21875,0.034376427592507995,7018604.942250004,0.8508752976715419,6,0.14134895489306926,114129.32171466327,22394.96666666433,0.1256553903753327,0.068044968,17634,0.005565221,0,0.7511087846197773,0.6135413814256503,119273,1.1042473785381866,97,0.3970254504889657,Awardee
W Steiger,0,5.075884472869397e-05,3,2977.703125,7.613826709304096e-05,3530.6046249999968,0.2256783132863249,8,6.352100966540364e-05,5194.787475106023,12047.640476192244,0.00189317,7.246432577618822e-10,8,1.61155005106852e-05,4.5290203610117634e-11,0.6105263157894737,0.592903239,5212,5.57829208337183e-05,0,0.22465278194589025,Nonawardee
A Shokrollahi,0,3.806913354652048e-05,2,2977.203125,3.806913354652048e-05,3308.905499999997,0,8,6.212348232613305e-05,5206.944655,12046.640476192242,0.001857874,0,2,1.0385532203506084e-05,0,0.6105231433012912,0.5927204943688263,5224,4.67508183748244e-05,0,0.2246505809134121,Nonawardee
A Shalev,0,3.806913354652048e-05,2,2977.203125,3.806913354652048e-05,3308.905499999997,0,8,6.212348232613305e-05,5206.944655,12046.640476192242,0.001857874,0,2,1.0385532203506084e-05,0,0.6105231433012912,0.5927204943688263,5224,4.675081837482438e-05,0,0.2246505809134121,Nonawardee
R Cleve,5342.590949563243,2.8551850159890357e-05,3,3739.171875,9.51728338663012e-05,10299.490375000005,0.1354069879717949,7,0.000158491,16427.19174,13110.29523809823,0.001977587,1.757958653568083e-05,6,2.374797849745383e-05,2.971799744092115e-07,0.6342549411503442,0.6474266666119658,16455,6.007249542690311e-05,0,0.24241737290299606,Awardee
J Riedl,3170335.359894618,3.867340550757636e-05,10,6477.390625,0.001218212,152318.35312499857,0.4566897660607341,7,0.008005669,84841.92950895494,16816.802380958907,0.008450222,0.001635855,128,0.000270618,8.82129858643516e-23,0.695441134,0.6675750691990695,86059,0.005712319,0,0.30450744810211466,Awardee
R Shaltiel,4567.529701974707,6.979341150195422e-05,4,3083.710938,0.000133242,4995.906874999998,0.1934385542454214,8,7.993555636040084e-05,6593.184344370161,12201.204761906572,0.001963714,8.217407913503322e-06,22,2.4740523570914932e-05,5.351441565507829e-08,0.6142635068684369,0.595250995,6614,0.000148971,0,0.22727589844272097,Nonawardee
J Friedman,10901.81052,3.806913354652048e-05,4,3973.015625,7.613826709304096e-05,15879.430125000014,0,7,0.000295642,22415.209628573062,13435.995238098576,0.002057299,1.0568475373659913e-05,6,1.4816171356146827e-05,4.88116302203933e-07,0.641375591,0.6393452633421763,22455,9.921109136461007e-05,0,0.24830966236478777,Nonawardee
